1----rcs.size():0[tm1:1507828365939706,tm2:1507828365939706(0),tm3:1507828365939715(9),tm4:1507828365939715(9)]
2----rcs.size():0[tm1:1507828366066163,tm2:1507828366066163(0),tm3:1507828366066172(9),tm4:1507828366066172(9)]
3----rcs.size():0[tm1:1507828366107862,tm2:1507828366107862(0),tm3:1507828366107864(2),tm4:1507828366107865(3)]
4----rcs.size():0[tm1:1507828366137548,tm2:1507828366137548(0),tm3:1507828366137550(2),tm4:1507828366137551(3)]
5----rcs.size():0[tm1:1507828366173333,tm2:1507828366173333(0),tm3:1507828366173336(3),tm4:1507828366173336(3)]
6----rcs.size():0[tm1:1507828366212183,tm2:1507828366212183(0),tm3:1507828366212186(3),tm4:1507828366212186(3)]
7----rcs.size():0[tm1:1507828366253691,tm2:1507828366253691(0),tm3:1507828366253695(4),tm4:1507828366253695(4)]
8----rcs.size():0[tm1:1507828366289111,tm2:1507828366289111(0),tm3:1507828366289114(3),tm4:1507828366289114(3)]
9----rcs.size():0[tm1:1507828366325696,tm2:1507828366325696(0),tm3:1507828366325699(3),tm4:1507828366325699(3)]
10----rcs.size():0[tm1:1507828366361260,tm2:1507828366361260(0),tm3:1507828366361263(3),tm4:1507828366361263(3)]
11----rcs.size():0[tm1:1507828366396151,tm2:1507828366396152(1),tm3:1507828366396154(3),tm4:1507828366396154(3)]
12----rcs.size():0[tm1:1507828366430729,tm2:1507828366430729(0),tm3:1507828366430731(2),tm4:1507828366430732(3)]
13----rcs.size():0[tm1:1507828366466737,tm2:1507828366466737(0),tm3:1507828366466739(2),tm4:1507828366466740(3)]
14----rcs.size():0[tm1:1507828366501775,tm2:1507828366501776(1),tm3:1507828366501778(3),tm4:1507828366501778(3)]
15----rcs.size():0[tm1:1507828366536869,tm2:1507828366536869(0),tm3:1507828366536871(2),tm4:1507828366536871(2)]
16----rcs.size():0[tm1:1507828366571492,tm2:1507828366571492(0),tm3:1507828366571494(2),tm4:1507828366571494(2)]
17----rcs.size():0[tm1:1507828366606251,tm2:1507828366606251(0),tm3:1507828366606253(2),tm4:1507828366606253(2)]
18----rcs.size():0[tm1:1507828366641319,tm2:1507828366641319(0),tm3:1507828366641321(2),tm4:1507828366641321(2)]
19----rcs.size():0[tm1:1507828366678359,tm2:1507828366678359(0),tm3:1507828366678361(2),tm4:1507828366678361(2)]
20----rcs.size():0[tm1:1507828366713510,tm2:1507828366713510(0),tm3:1507828366713512(2),tm4:1507828366713512(2)]
21----rcs.size():0[tm1:1507828366749181,tm2:1507828366749181(0),tm3:1507828366749183(2),tm4:1507828366749184(3)]
22----rcs.size():0[tm1:1507828366787007,tm2:1507828366787007(0),tm3:1507828366787010(3),tm4:1507828366787010(3)]
23----rcs.size():0[tm1:1507828366822877,tm2:1507828366822877(0),tm3:1507828366822879(2),tm4:1507828366822880(3)]
24----rcs.size():0[tm1:1507828366856183,tm2:1507828366856183(0),tm3:1507828366856185(2),tm4:1507828366856185(2)]
25----rcs.size():0[tm1:1507828366892538,tm2:1507828366892538(0),tm3:1507828366892540(2),tm4:1507828366892540(2)]
26----rcs.size():0[tm1:1507828366927877,tm2:1507828366927877(0),tm3:1507828366927879(2),tm4:1507828366927879(2)]
27----rcs.size():0[tm1:1507828366963099,tm2:1507828366963100(1),tm3:1507828366963102(3),tm4:1507828366963102(3)]
28----rcs.size():0[tm1:1507828366999345,tm2:1507828366999346(1),tm3:1507828366999348(3),tm4:1507828366999348(3)]
29----rcs.size():0[tm1:1507828367036289,tm2:1507828367036289(0),tm3:1507828367036291(2),tm4:1507828367036291(2)]
30----rcs.size():0[tm1:1507828367072085,tm2:1507828367072085(0),tm3:1507828367072088(3),tm4:1507828367072088(3)]
31----rcs.size():0[tm1:1507828367110339,tm2:1507828367110339(0),tm3:1507828367110342(3),tm4:1507828367110342(3)]
32----rcs.size():0[tm1:1507828367147512,tm2:1507828367147513(1),tm3:1507828367147517(5),tm4:1507828367147517(5)]
33----rcs.size():0[tm1:1507828367183257,tm2:1507828367183257(0),tm3:1507828367183260(3),tm4:1507828367183260(3)]
34----rcs.size():0[tm1:1507828367219541,tm2:1507828367219541(0),tm3:1507828367219543(2),tm4:1507828367219544(3)]
35----rcs.size():0[tm1:1507828367257345,tm2:1507828367257346(1),tm3:1507828367257348(3),tm4:1507828367257348(3)]
36----rcs.size():0[tm1:1507828367293297,tm2:1507828367293297(0),tm3:1507828367293300(3),tm4:1507828367293300(3)]
37----rcs.size():0[tm1:1507828367329349,tm2:1507828367329349(0),tm3:1507828367329351(2),tm4:1507828367329352(3)]
38----rcs.size():0[tm1:1507828367366535,tm2:1507828367366535(0),tm3:1507828367366537(2),tm4:1507828367366538(3)]
39----rcs.size():1[tm1:1507828368812118,tm2:1507828368994524(182406),tm3:1507828368994533(182415),tm4:1507828368994534(182416)]****
40----rcs.size():1[tm1:1507828369027561,tm2:1507828369031885(4324),tm3:1507828369031967(4406),tm4:1507828369031967(4406)]
41----rcs.size():1[tm1:1507828369065223,tm2:1507828369069405(4182),tm3:1507828369069447(4224),tm4:1507828369069471(4248)]
42----rcs.size():1[tm1:1507828369110014,tm2:1507828369114137(4123),tm3:1507828369114208(4194),tm4:1507828369114218(4204)]
43----rcs.size():1[tm1:1507828369151823,tm2:1507828369155984(4161),tm3:1507828369156045(4222),tm4:1507828369156060(4237)]
44----rcs.size():1[tm1:1507828369187657,tm2:1507828369191769(4112),tm3:1507828369191877(4220),tm4:1507828369191887(4230)]
45----rcs.size():1[tm1:1507828369223449,tm2:1507828369227525(4076),tm3:1507828369227609(4160),tm4:1507828369227617(4168)]
46----rcs.size():1[tm1:1507828369259582,tm2:1507828369263685(4103),tm3:1507828369263780(4198),tm4:1507828369263787(4205)]
47----rcs.size():1[tm1:1507828369303456,tm2:1507828369307532(4076),tm3:1507828369307591(4135),tm4:1507828369307601(4145)]
48----rcs.size():1[tm1:1507828369348235,tm2:1507828369352291(4056),tm3:1507828369352337(4102),tm4:1507828369352344(4109)]
49----rcs.size():1[tm1:1507828369391609,tm2:1507828369395733(4124),tm3:1507828369395782(4173),tm4:1507828369395789(4180)]
50----rcs.size():1[tm1:1507828369430103,tm2:1507828369434248(4145),tm3:1507828369434297(4194),tm4:1507828369434303(4200)]
51----rcs.size():1[tm1:1507828369470115,tm2:1507828369474312(4197),tm3:1507828369474369(4254),tm4:1507828369474375(4260)]
52----rcs.size():1[tm1:1507828369510690,tm2:1507828369514820(4130),tm3:1507828369514868(4178),tm4:1507828369514876(4186)]
53----rcs.size():1[tm1:1507828369548362,tm2:1507828369552380(4018),tm3:1507828369552443(4081),tm4:1507828369552449(4087)]
54----rcs.size():1[tm1:1507828369587071,tm2:1507828369591226(4155),tm3:1507828369591289(4218),tm4:1507828369591304(4233)]
55----rcs.size():1[tm1:1507828369629745,tm2:1507828369633963(4218),tm3:1507828369634012(4267),tm4:1507828369634018(4273)]
56----rcs.size():1[tm1:1507828369669962,tm2:1507828369674231(4269),tm3:1507828369674321(4359),tm4:1507828369674327(4365)]
57----rcs.size():1[tm1:1507828369709281,tm2:1507828369713359(4078),tm3:1507828369713424(4143),tm4:1507828369713431(4150)]
58----rcs.size():1[tm1:1507828369748598,tm2:1507828369752641(4043),tm3:1507828369752723(4125),tm4:1507828369752731(4133)]
59----rcs.size():1[tm1:1507828369788273,tm2:1507828369792398(4125),tm3:1507828369792464(4191),tm4:1507828369792481(4208)]
60----rcs.size():1[tm1:1507828369831559,tm2:1507828369835645(4086),tm3:1507828369835694(4135),tm4:1507828369835701(4142)]
61----rcs.size():1[tm1:1507828369869908,tm2:1507828369874014(4106),tm3:1507828369874100(4192),tm4:1507828369874107(4199)]
62----rcs.size():1[tm1:1507828369912171,tm2:1507828369916266(4095),tm3:1507828369916335(4164),tm4:1507828369916359(4188)]
63----rcs.size():1[tm1:1507828369950376,tm2:1507828369954408(4032),tm3:1507828369954475(4099),tm4:1507828369954482(4106)]
64----rcs.size():1[tm1:1507828369992392,tm2:1507828369996541(4149),tm3:1507828369996607(4215),tm4:1507828369996614(4222)]
65----rcs.size():1[tm1:1507828370032598,tm2:1507828370036694(4096),tm3:1507828370036760(4162),tm4:1507828370036767(4169)]
66----rcs.size():1[tm1:1507828370074164,tm2:1507828370078315(4151),tm3:1507828370078381(4217),tm4:1507828370078388(4224)]
67----rcs.size():1[tm1:1507828370114846,tm2:1507828370118983(4137),tm3:1507828370119048(4202),tm4:1507828370119056(4210)]
68----rcs.size():1[tm1:1507828370158365,tm2:1507828370162337(3972),tm3:1507828370162402(4037),tm4:1507828370162410(4045)]
69----rcs.size():1[tm1:1507828370201727,tm2:1507828370205806(4079),tm3:1507828370205872(4145),tm4:1507828370205880(4153)]
70----rcs.size():1[tm1:1507828370237442,tm2:1507828370241545(4103),tm3:1507828370241617(4175),tm4:1507828370241652(4210)]
71----rcs.size():1[tm1:1507828370275977,tm2:1507828370280266(4289),tm3:1507828370280335(4358),tm4:1507828370280343(4366)]
72----rcs.size():1[tm1:1507828370320942,tm2:1507828370325191(4249),tm3:1507828370325258(4316),tm4:1507828370325265(4323)]
73----rcs.size():1[tm1:1507828370362173,tm2:1507828370366362(4189),tm3:1507828370366435(4262),tm4:1507828370366443(4270)]
74----rcs.size():2[tm1:1507828370398776,tm2:1507828370594780(196004),tm3:1507828370594849(196073),tm4:1507828370594856(196080)]****
75----rcs.size():2[tm1:1507828370627357,tm2:1507828370632916(5559),tm3:1507828370632979(5622),tm4:1507828370632985(5628)]
76----rcs.size():2[tm1:1507828370663896,tm2:1507828370669544(5648),tm3:1507828370669606(5710),tm4:1507828370669621(5725)]
77----rcs.size():2[tm1:1507828370704215,tm2:1507828370709751(5536),tm3:1507828370709831(5616),tm4:1507828370709844(5629)]
