[tm1:1507791186355019,tm2:1507791186355022(3),tm3:1507791186355043(24),tm4:1507791186355043(24)]
[tm1:1507791186511141,tm2:1507791186511142(1),tm3:1507791186511153(12),tm4:1507791186511153(12)]
[tm1:1507791186553449,tm2:1507791186553449(0),tm3:1507791186553460(11),tm4:1507791186553460(11)]
[tm1:1507791186586030,tm2:1507791186586031(1),tm3:1507791186586042(12),tm4:1507791186586042(12)]
[tm1:1507791186632619,tm2:1507791186632619(0),tm3:1507791186632631(12),tm4:1507791186632631(12)]
[tm1:1507791186671861,tm2:1507791186671862(1),tm3:1507791186671872(11),tm4:1507791186671873(12)]
[tm1:1507791186715410,tm2:1507791186715411(1),tm3:1507791186715421(11),tm4:1507791186715422(12)]
[tm1:1507791186755666,tm2:1507791186755666(0),tm3:1507791186755677(11),tm4:1507791186755677(11)]
[tm1:1507791186801925,tm2:1507791186801926(1),tm3:1507791186801937(12),tm4:1507791186801937(12)]
[tm1:1507791186842870,tm2:1507791186842870(0),tm3:1507791186842881(11),tm4:1507791186842882(12)]
[tm1:1507791186883931,tm2:1507791186883932(1),tm3:1507791186883943(12),tm4:1507791186883944(13)]
[tm1:1507791186925059,tm2:1507791186925060(1),tm3:1507791186925071(12),tm4:1507791186925071(12)]
[tm1:1507791186966123,tm2:1507791186966124(1),tm3:1507791186966135(12),tm4:1507791186966135(12)]
[tm1:1507791187006369,tm2:1507791187006370(1),tm3:1507791187006381(12),tm4:1507791187006381(12)]
[tm1:1507791187047601,tm2:1507791187047602(1),tm3:1507791187047612(11),tm4:1507791187047613(12)]
[tm1:1507791187088636,tm2:1507791187088636(0),tm3:1507791187088647(11),tm4:1507791187088647(11)]
[tm1:1507791187130746,tm2:1507791187130747(1),tm3:1507791187130758(12),tm4:1507791187130758(12)]
[tm1:1507791187172538,tm2:1507791187172539(1),tm3:1507791187172550(12),tm4:1507791187172550(12)]
[tm1:1507791187214177,tm2:1507791187214178(1),tm3:1507791187214189(12),tm4:1507791187214189(12)]
[tm1:1507791187255882,tm2:1507791187255883(1),tm3:1507791187255893(11),tm4:1507791187255894(12)]
[tm1:1507791187297575,tm2:1507791187297576(1),tm3:1507791187297586(11),tm4:1507791187297587(12)]
[tm1:1507791187339174,tm2:1507791187339175(1),tm3:1507791187339185(11),tm4:1507791187339186(12)]
[tm1:1507791187380433,tm2:1507791187380434(1),tm3:1507791187380445(12),tm4:1507791187380445(12)]
[tm1:1507791187422350,tm2:1507791187422355(5),tm3:1507791187422370(20),tm4:1507791187422371(21)]
[tm1:1507791187464182,tm2:1507791187464183(1),tm3:1507791187464194(12),tm4:1507791187464194(12)]
[tm1:1507791187505680,tm2:1507791187505681(1),tm3:1507791187505692(12),tm4:1507791187505692(12)]
[tm1:1507791187546843,tm2:1507791187546843(0),tm3:1507791187546854(11),tm4:1507791187546854(11)]
[tm1:1507791187588382,tm2:1507791187588383(1),tm3:1507791187588397(15),tm4:1507791187588398(16)]
[tm1:1507791187630409,tm2:1507791187630410(1),tm3:1507791187630420(11),tm4:1507791187630421(12)]
[tm1:1507791187671573,tm2:1507791187671574(1),tm3:1507791187671585(12),tm4:1507791187671585(12)]
[tm1:1507791187713052,tm2:1507791187713053(1),tm3:1507791187713064(12),tm4:1507791187713064(12)]
[tm1:1507791187754844,tm2:1507791187754845(1),tm3:1507791187754856(12),tm4:1507791187754856(12)]
[tm1:1507791187796401,tm2:1507791187796401(0),tm3:1507791187796412(11),tm4:1507791187796412(11)]
[tm1:1507791187838292,tm2:1507791187838293(1),tm3:1507791187838304(12),tm4:1507791187838305(13)]
[tm1:1507791187880588,tm2:1507791187880589(1),tm3:1507791187880600(12),tm4:1507791187880600(12)]
[tm1:1507791187921598,tm2:1507791187921599(1),tm3:1507791187921609(11),tm4:1507791187921610(12)]
[tm1:1507791187963636,tm2:1507791187963637(1),tm3:1507791187963648(12),tm4:1507791187963648(12)]
[tm1:1507791188005440,tm2:1507791188005441(1),tm3:1507791188005452(12),tm4:1507791188005452(12)]
[tm1:1507791188046883,tm2:1507791188850607(803724),tm3:1507791188850844(803961),tm4:1507791188850845(803962)]
[tm1:1507791188890820,tm2:1507791188895057(4237),tm3:1507791188896218(5398),tm4:1507791188896219(5399)]
[tm1:1507791188936623,tm2:1507791188940906(4283),tm3:1507791188942095(5472),tm4:1507791188942131(5508)]
[tm1:1507791188985887,tm2:1507791188989995(4108),tm3:1507791188991740(5853),tm4:1507791188991751(5864)]
[tm1:1507791189035795,tm2:1507791189039919(4124),tm3:1507791189041673(5878),tm4:1507791189041683(5888)]
[tm1:1507791189087134,tm2:1507791189091150(4016),tm3:1507791189092921(5787),tm4:1507791189092931(5797)]
[tm1:1507791189133215,tm2:1507791189137261(4046),tm3:1507791189139134(5919),tm4:1507791189139144(5929)]
[tm1:1507791189182662,tm2:1507791189186701(4039),tm3:1507791189188485(5823),tm4:1507791189188496(5834)]
[tm1:1507791189230836,tm2:1507791189234953(4117),tm3:1507791189237066(6230),tm4:1507791189237080(6244)]
[tm1:1507791189279312,tm2:1507791189283355(4043),tm3:1507791189285196(5884),tm4:1507791189285207(5895)]
[tm1:1507791189326467,tm2:1507791189330573(4106),tm3:1507791189332459(5992),tm4:1507791189332473(6006)]
[tm1:1507791189376037,tm2:1507791189380132(4095),tm3:1507791189381995(5958),tm4:1507791189382006(5969)]
[tm1:1507791189423581,tm2:1507791189427609(4028),tm3:1507791189429480(5899),tm4:1507791189429491(5910)]
[tm1:1507791189471841,tm2:1507791189475954(4113),tm3:1507791189477869(6028),tm4:1507791189477880(6039)]
[tm1:1507791189520267,tm2:1507791189524369(4102),tm3:1507791189526282(6015),tm4:1507791189526293(6026)]
[tm1:1507791189567096,tm2:1507791189571244(4148),tm3:1507791189573427(6331),tm4:1507791189573440(6344)]
[tm1:1507791189615664,tm2:1507791189619773(4109),tm3:1507791189621736(6072),tm4:1507791189621746(6082)]
[tm1:1507791189664190,tm2:1507791189668214(4024),tm3:1507791189670192(6002),tm4:1507791189670204(6014)]
[tm1:1507791189712644,tm2:1507791189716740(4096),tm3:1507791189718734(6090),tm4:1507791189718745(6101)]
