[tm1:1507851219693305,tm2:1507851219693307(2),tm3:1507851219693320(15),tm4:1507851219693320(15)]
[tm1:1507851219831261,tm2:1507851219831262(1),tm3:1507851219831290(29),tm4:1507851219831291(30)]
[tm1:1507851219869633,tm2:1507851219869634(1),tm3:1507851219869643(10),tm4:1507851219869644(11)]
[tm1:1507851219900661,tm2:1507851219900662(1),tm3:1507851219900674(13),tm4:1507851219900675(14)]
[tm1:1507851219935856,tm2:1507851219935857(1),tm3:1507851219935868(12),tm4:1507851219935869(13)]
[tm1:1507851219971617,tm2:1507851219971618(1),tm3:1507851219971627(10),tm4:1507851219971628(11)]
[tm1:1507851220008186,tm2:1507851220008187(1),tm3:1507851220008196(10),tm4:1507851220008197(11)]
[tm1:1507851220045211,tm2:1507851220045211(0),tm3:1507851220045220(9),tm4:1507851220045220(9)]
[tm1:1507851220088721,tm2:1507851220088721(0),tm3:1507851220088730(9),tm4:1507851220088730(9)]
[tm1:1507851220120557,tm2:1507851220120558(1),tm3:1507851220120567(10),tm4:1507851220120567(10)]
[tm1:1507851220152645,tm2:1507851220152645(0),tm3:1507851220152654(9),tm4:1507851220152654(9)]
[tm1:1507851220187838,tm2:1507851220187838(0),tm3:1507851220187847(9),tm4:1507851220187847(9)]
[tm1:1507851220222317,tm2:1507851220222317(0),tm3:1507851220222326(9),tm4:1507851220222327(10)]
[tm1:1507851220257390,tm2:1507851220257391(1),tm3:1507851220257400(10),tm4:1507851220257400(10)]
[tm1:1507851220291776,tm2:1507851220291776(0),tm3:1507851220291785(9),tm4:1507851220291785(9)]
[tm1:1507851220327166,tm2:1507851220327167(1),tm3:1507851220327176(10),tm4:1507851220327176(10)]
[tm1:1507851220362547,tm2:1507851220362548(1),tm3:1507851220362557(10),tm4:1507851220362557(10)]
[tm1:1507851220398195,tm2:1507851220398196(1),tm3:1507851220398205(10),tm4:1507851220398205(10)]
[tm1:1507851220433657,tm2:1507851220433657(0),tm3:1507851220433666(9),tm4:1507851220433666(9)]
[tm1:1507851220468310,tm2:1507851220468311(1),tm3:1507851220468320(10),tm4:1507851220468320(10)]
[tm1:1507851220503720,tm2:1507851220503721(1),tm3:1507851220503730(10),tm4:1507851220503730(10)]
[tm1:1507851220540362,tm2:1507851220540363(1),tm3:1507851220540371(9),tm4:1507851220540372(10)]
[tm1:1507851220577848,tm2:1507851220577848(0),tm3:1507851220577858(10),tm4:1507851220577858(10)]
[tm1:1507851220613720,tm2:1507851220613720(0),tm3:1507851220613729(9),tm4:1507851220613730(10)]
[tm1:1507851220649505,tm2:1507851220649506(1),tm3:1507851220649515(10),tm4:1507851220649516(11)]
[tm1:1507851220686357,tm2:1507851220686357(0),tm3:1507851220686366(9),tm4:1507851220686366(9)]
[tm1:1507851220722311,tm2:1507851220722311(0),tm3:1507851220722320(9),tm4:1507851220722321(10)]
[tm1:1507851220758237,tm2:1507851220758237(0),tm3:1507851220758247(10),tm4:1507851220758247(10)]
[tm1:1507851220796383,tm2:1507851220796383(0),tm3:1507851220796392(9),tm4:1507851220796392(9)]
[tm1:1507851220832774,tm2:1507851220832775(1),tm3:1507851220832783(9),tm4:1507851220832784(10)]
[tm1:1507851220868667,tm2:1507851220868668(1),tm3:1507851220868676(9),tm4:1507851220868677(10)]
[tm1:1507851220906198,tm2:1507851220906199(1),tm3:1507851220906208(10),tm4:1507851220906208(10)]
[tm1:1507851220942716,tm2:1507851220942717(1),tm3:1507851220942726(10),tm4:1507851220942726(10)]
[tm1:1507851220978345,tm2:1507851220978345(0),tm3:1507851220978354(9),tm4:1507851220978355(10)]
[tm1:1507851221013375,tm2:1507851221013376(1),tm3:1507851221013385(10),tm4:1507851221013385(10)]
[tm1:1507851221049167,tm2:1507851221049168(1),tm3:1507851221049177(10),tm4:1507851221049178(11)]
[tm1:1507851221086995,tm2:1507851221086996(1),tm3:1507851221087005(10),tm4:1507851221087006(11)]
[tm1:1507851221122455,tm2:1507851221122456(1),tm3:1507851221122464(9),tm4:1507851221122465(10)]
[tm1:1507851221158099,tm2:1507851221820995(662896),tm3:1507851221821149(663050),tm4:1507851221821149(663050)]
[tm1:1507851221857996,tm2:1507851221862392(4396),tm3:1507851221862948(4952),tm4:1507851221862949(4953)]
[tm1:1507851221901194,tm2:1507851221905419(4225),tm3:1507851221905792(4598),tm4:1507851221905818(4624)]
[tm1:1507851221944451,tm2:1507851221948707(4256),tm3:1507851221949361(4910),tm4:1507851221949371(4920)]
[tm1:1507851221989078,tm2:1507851221993095(4017),tm3:1507851221993606(4528),tm4:1507851221993614(4536)]
[tm1:1507851222024468,tm2:1507851222028750(4282),tm3:1507851222029418(4950),tm4:1507851222029426(4958)]
[tm1:1507851222062043,tm2:1507851222066283(4240),tm3:1507851222066828(4785),tm4:1507851222066839(4796)]
[tm1:1507851222098926,tm2:1507851222103033(4107),tm3:1507851222103597(4671),tm4:1507851222103606(4680)]
[tm1:1507851222138965,tm2:1507851222143070(4105),tm3:1507851222143661(4696),tm4:1507851222143670(4705)]
[tm1:1507851222178642,tm2:1507851222182730(4088),tm3:1507851222183457(4815),tm4:1507851222183484(4842)]
[tm1:1507851222222623,tm2:1507851222226763(4140),tm3:1507851222227594(4971),tm4:1507851222227606(4983)]
[tm1:1507851222266882,tm2:1507851222271048(4166),tm3:1507851222271681(4799),tm4:1507851222271690(4808)]
[tm1:1507851222310450,tm2:1507851222314590(4140),tm3:1507851222315297(4847),tm4:1507851222315306(4856)]
[tm1:1507851222347231,tm2:1507851222351233(4002),tm3:1507851222351883(4652),tm4:1507851222351892(4661)]
[tm1:1507851222383645,tm2:1507851222387736(4091),tm3:1507851222388542(4897),tm4:1507851222388552(4907)]
[tm1:1507851222424344,tm2:1507851222428447(4103),tm3:1507851222429192(4848),tm4:1507851222429202(4858)]
[tm1:1507851222468390,tm2:1507851222472546(4156),tm3:1507851222473332(4942),tm4:1507851222473342(4952)]
[tm1:1507851222512171,tm2:1507851222516207(4036),tm3:1507851222516978(4807),tm4:1507851222516987(4816)]
[tm1:1507851222550498,tm2:1507851222554533(4035),tm3:1507851222555342(4844),tm4:1507851222555351(4853)]
[tm1:1507851222589657,tm2:1507851222593815(4158),tm3:1507851222594703(5046),tm4:1507851222594712(5055)]
[tm1:1507851222632932,tm2:1507851222636887(3955),tm3:1507851222637953(5021),tm4:1507851222637965(5033)]
[tm1:1507851222676494,tm2:1507851222680580(4086),tm3:1507851222681470(4976),tm4:1507851222681479(4985)]
[tm1:1507851222720429,tm2:1507851222724672(4243),tm3:1507851222725555(5126),tm4:1507851222725563(5134)]
[tm1:1507851222756982,tm2:1507851222761166(4184),tm3:1507851222761953(4971),tm4:1507851222761962(4980)]
[tm1:1507851222793601,tm2:1507851222797802(4201),tm3:1507851222798695(5094),tm4:1507851222798704(5103)]
[tm1:1507851222834129,tm2:1507851222838513(4384),tm3:1507851222839401(5272),tm4:1507851222839409(5280)]
[tm1:1507851222879099,tm2:1507851222883214(4115),tm3:1507851222884090(4991),tm4:1507851222884100(5001)]
[tm1:1507851222920027,tm2:1507851222924183(4156),tm3:1507851222925027(5000),tm4:1507851222925037(5010)]
[tm1:1507851222963496,tm2:1507851222967653(4157),tm3:1507851222968523(5027),tm4:1507851222968531(5035)]
[tm1:1507851223003615,tm2:1507851223007830(4215),tm3:1507851223008761(5146),tm4:1507851223008768(5153)]
[tm1:1507851223047735,tm2:1507851223051849(4114),tm3:1507851223052709(4974),tm4:1507851223052718(4983)]
[tm1:1507851223091152,tm2:1507851223095229(4077),tm3:1507851223096152(5000),tm4:1507851223096166(5014)]
[tm1:1507851223133747,tm2:1507851223137955(4208),tm3:1507851223138927(5180),tm4:1507851223138937(5190)]
[tm1:1507851223174542,tm2:1507851223178893(4351),tm3:1507851223179917(5375),tm4:1507851223179927(5385)]
[tm1:1507851223212398,tm2:1507851223216607(4209),tm3:1507851223217688(5290),tm4:1507851223217697(5299)]
[tm1:1507851223248782,tm2:1507851223443917(195135),tm3:1507851223445044(196262),tm4:1507851223445054(196272)]
[tm1:1507851223482513,tm2:1507851223487943(5430),tm3:1507851223489492(6979),tm4:1507851223489503(6990)]
[tm1:1507851223530495,tm2:1507851223536016(5521),tm3:1507851223537285(6790),tm4:1507851223537301(6806)]
[tm1:1507851223569627,tm2:1507851223575151(5524),tm3:1507851223576720(7093),tm4:1507851223576734(7107)]
[tm1:1507851223610295,tm2:1507851223615945(5650),tm3:1507851223617497(7202),tm4:1507851223617509(7214)]
[tm1:1507851223656130,tm2:1507851223661703(5573),tm3:1507851223663148(7018),tm4:1507851223663163(7033)]
[tm1:1507851223703545,tm2:1507851223709255(5710),tm3:1507851223710749(7204),tm4:1507851223710763(7218)]
[tm1:1507851223750661,tm2:1507851223756252(5591),tm3:1507851223757767(7106),tm4:1507851223757781(7120)]
[tm1:1507851223789317,tm2:1507851223795175(5858),tm3:1507851223796713(7396),tm4:1507851223796727(7410)]
[tm1:1507851223828918,tm2:1507851223834517(5599),tm3:1507851223836148(7230),tm4:1507851223836162(7244)]
[tm1:1507851223876684,tm2:1507851223882328(5644),tm3:1507851223883901(7217),tm4:1507851223883915(7231)]
